Type,Subtype,Color,NFC Hex,Timestamp
PETG,PETG Translucent,#FFFFFF,"A2:04:0103A00C, A2:05:34030FD1, A2:06:010B5504, A2:07:656C6567, A2:08:6F6F2E63, A2:09:6F6DFE00, A2:10:36EEEEEE, A2:11:EE000100, A2:12:80698471, A2:13:00040000, A2:14:FFFFFF00, A2:15:0000FFFF, A2:17:00AF03E8, A2:18:0A300000, A2:21:00000000",10:05:01 AM
PLA,PLA,#FFFFFF,"A2:04:0103A00C, A2:05:34030FD1, A2:06:010B5504, A2:07:656C6567, A2:08:6F6F2E63, A2:09:6F6DFE00, A2:10:36EEEEEE, A2:11:EE000100, A2:12:00807665, A2:13:03000000, A2:14:FFFFFF00, A2:15:0000FFFF, A2:17:00AF03E8, A2:18:0A300000, A2:21:00000000",12:10 PM
